n,avgMs,minMs,maxMs,stddevMs,trials
10000,6.400,3,13,3.499,5
50000,26.200,18,37,6.794,5
100000,49.600,40,58,7.552,5
300000,174.200,165,198,12.303,5
500000,353.600,288,409,40.854,5
1000000,1120.800,824,1398,212.595,5
